listing_id,platform,title,price_raw,condition,seller_name,url
ebay_au:267641691840,EBAY_AU,MSI Vector 18 HX AI 18in 240Hz Ultra 9 275HX RTX 5080 1TB SSD 32gb DDR5,"AU $4,170.70",Used,a2db25,https://www.ebay.com.au/itm/267641691840
ebay_au:227393223080,EBAY_AU,"Dell Precision 7780 17.3"" i9-13950HX 2.2GHz 64GB RAM 1TB SSD RTX 3500 Ada","AU $3,331.39*",Used,paymore_fort_thomas,https://www.ebay.com.au/itm/227393223080
ebay_au:277903442793,EBAY_AU,Acer Predator Triton 14 AI 14 120Hz TOUCH 3.3GHz Ultra 9 288V 32GB 2TB RTX 5070,"AU $2,823.75*",Excellent - Refurbished,itsworthmore,https://www.ebay.com.au/itm/277903442793
ebay_au:198363360068,EBAY_AU,"Asus GX650PV ROG Zephyrus Duo16 R9 7945HX 32GB RAM 1TB SSD RTX4060 16"" + 14"" W11","AU $2,611.55",,treasure_pc_online,https://www.ebay.com.au/itm/198363360068
ebay_au:800200905473,EBAY_AU,Razer Blade 18 i9 14900HX RTX 4090 32GB 2TB QHD 300Hz Mini LED Gaming Laptop,"AU $3,026.70",Used,madelinodri-0,https://www.ebay.com.au/itm/800200905473
ebay_au:357485578512,EBAY_AU,"ASUS TUF Gaming A18 FA808UP-S8017 / FreeDOS 18"" RTX5070 AMD 7 260 16GB/512GB","AU $2,853.20",Brand New,dw_store13,https://www.ebay.com.au/itm/357485578512
ebay_au:336647723910,EBAY_AU,"Predator Helios 18 AI Gaming Laptop CU9 275HX 192 GB 5 TB SSD RTX 5090 18"" W 11","AU $8,317.07*",Opened – never used,henry.simonds90,https://www.ebay.com.au/itm/336647723910
ebay_au:366491967195,EBAY_AU,ASUS ExpertBook 14 14' FHD Notebook AMD Ryzen 5 150 DDR5 16GB 512GB SSD Win11,"AU $1,562.99",Brand New,tech_aussie,https://www.ebay.com.au/itm/366491967195
ebay_au:188296491379,EBAY_AU,"Dell Precision 7670 Intel i7 12850HX 4.80GHz 32GB RAM 1TB SSD RTX A3000 16"" Win","AU $1,249.00",,bneacttrader,https://www.ebay.com.au/itm/188296491379
ebay_au:358135333685,EBAY_AU,"ASUS ROG Strix G18 18"" i9-13980HX RTX4060 16GB/512GB Gaming Laptop / G814JV-N602","AU $3,576.71",Brand New,dw_store13,https://www.ebay.com.au/itm/358135333685
ebay_au:286722685916,EBAY_AU,"13th gen i7 HP Zbook Studio G10 16"" WUXGA Laptop, i7-13700H, 32GB RAM, 1TB SSD,","AU $2,900.00",Brand New,nisul2014,https://www.ebay.com.au/itm/286722685916
ebay_au:389927241205,EBAY_AU,"DELL PRECISION 5570 15.6"" 4K TOUCH, i9 12900H 32GB 1TB SSD RTX A2000 8GB WIN 11","AU $1,349.10",Used,pro-pc-so,https://www.ebay.com.au/itm/389927241205
ebay_au:168485245984,EBAY_AU,MSI Titan 18 HX Dragon Edition Norse Myth,"AU $8,663.94*",Opened – never used,andrea.salvatori95,https://www.ebay.com.au/itm/168485245984
ebay_au:407022238689,EBAY_AU,MSI TITAN 18 HX 5090 6TB w/2 chargers and a extra storage drive w/gaming mouse,"AU $5,480.24*",Opened – never used,nickhub38,https://www.ebay.com.au/itm/407022238689
ebay_au:377293014280,EBAY_AU,Acer Predator Triton 14 AI Gaming Laptop Touch Ultra 9 32GB RAM 2TB SSD RTX 5070,"AU $2,451.69*",Brand New,jestev-6612,https://www.ebay.com.au/itm/377293014280
ebay_au:366227557173,EBAY_AU,"Dell Precision 7750 17"" FHD Xeon W-10885 2.4GHz 128GB 2TB RTX 5000 W11P","AU $3,488.46*",Used,neuralsystems,https://www.ebay.com.au/itm/366227557173
ebay_au:158028390540,EBAY_AU,"HP ZBook Fury 16 G9 - 16"" FHD+, i9 12950HX, RTX A4500 16GB, 32GB RAM, 1TB SSD","AU $1,743.43*",Used,justin.1996,https://www.ebay.com.au/itm/158028390540
ebay_au:187687118880,EBAY_AU,"Dell Precision 7560 15"" Touch Laptop i7-11850H 8-Cores 32GB 8GB RTX A4000 Mobile","AU $1,899.99",,manlylaptops,https://www.ebay.com.au/itm/187687118880
ebay_au:198143249185,EBAY_AU,Dell Precision 7550 Laptop | Intel Xeon W10855M CPU| 64GB| 1.5TB |16 GB RTX 5000,"AU $1,900.00",Used,zinc_techno,https://www.ebay.com.au/itm/198143249185
ebay_au:267684076539,EBAY_AU,Alienware X15 R2 i9 12900H RTX 3080 Ti 32GB 2TB QHD 240Hz Laptop AZERTY seedesc*,"AU $1,733.89*",Used,geoff_lee367,https://www.ebay.com.au/itm/267684076539
ebay_au:267347223330,EBAY_AU,"ASUS ROG Strix Scar 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10, RTX 5070","AU $3,710.55*",Used,mobileadvance,https://www.ebay.com.au/itm/267347223330
ebay_au:287111365810,EBAY_AU,ACER PREDATOR HELIOS NEO 18 AI ULTRA 9 275HX RTX5070TI 64GB RAM 2TB SSD £2999rrp,"AU $4,050.22*",Opened – never used,applesquad,https://www.ebay.com.au/itm/287111365810
ebay_au:127783573861,EBAY_AU,"HP ZBook 8 G1i 16"" UWVA Touch Ultra 7 255H RTX 500 Ada 1TB SSD WUXGA 32GB Laptop","AU $4,499.00",Brand New,smarthomestoreau,https://www.ebay.com.au/itm/127783573861
ebay_au:800113189613,EBAY_AU,"MSI Raider 18 HX Gaming Laptop Intel Core i9-14900HX RTX 4080 32GB 1TB 18"" W11H","AU $2,696.84*",Very Good - Refurbished,newegg,https://www.ebay.com.au/itm/800113189613
ebay_au:116762331758,EBAY_AU,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop","AU $2,299.00",Opened – never used,pandselectronics,https://www.ebay.com.au/itm/116762331758
ebay_au:366519698304,EBAY_AU,ROG Strix RTX 4090 18inch Laptop,"AU $2,714.70",Used,zombie-5793,https://www.ebay.com.au/itm/366519698304
